###"arc_length","fluxdis11","fluxdis15","fluxdis19","fluxdis23","fluxdis27","fluxdis7"
78.6258,1.30559e+14,9.1852e+13,4.98499e+13,2.54938e+13,8.37163e+12,2.1218e+14
78.9507,1.31878e+14,9.25792e+13,5.00906e+13,2.54269e+13,8.32011e+12,2.14007e+14
79.2756,1.33205e+14,9.33089e+13,5.03303e+13,2.53557e+13,8.26644e+12,2.15839e+14
79.6005,1.34541e+14,9.4041e+13,5.05687e+13,2.52801e+13,8.21055e+12,2.17676e+14
79.9254,1.35884e+14,9.47757e+13,5.0806e+13,2.52e+13,8.15238e+12,2.1952e+14
80.2503,1.37237e+14,9.5513e+13,5.1042e+13,2.51152e+13,8.09185e+12,2.21369e+14
80.5752,1.38598e+14,9.62531e+13,5.12768e+13,2.50255e+13,8.02889e+12,2.23225e+14
80.9001,1.39969e+14,9.6996e+13,5.15103e+13,2.49309e+13,7.96342e+12,2.25087e+14
81.225,1.41349e+14,9.77418e+13,5.17424e+13,2.48311e+13,7.89536e+12,2.26956e+14
81.5499,1.42739e+14,9.84906e+13,5.19731e+13,2.47259e+13,7.82461e+12,2.28832e+14
81.8748,1.44139e+14,9.92425e+13,5.22023e+13,2.46153e+13,7.7511e+12,2.30715e+14
82.1997,1.4555e+14,9.99977e+13,5.24301e+13,2.44989e+13,7.67473e+12,2.32605e+14
82.5246,1.46972e+14,1.00756e+14,5.26563e+13,2.43767e+13,7.59541e+12,2.34503e+14
82.8495,1.48405e+14,1.01518e+14,5.28809e+13,2.42483e+13,7.51302e+12,2.36408e+14
83.1744,1.4985e+14,1.02283e+14,5.31039e+13,2.41137e+13,7.42746e+12,2.38322e+14
83.4993,1.51306e+14,1.03053e+14,5.33251e+13,2.39726e+13,7.33863e+12,2.40244e+14
83.8242,1.52776e+14,1.03826e+14,5.35446e+13,2.38246e+13,7.2464e+12,2.42175e+14
