#"arc_length" "flux" "flux"
155.627 1.88156e+13 2.87536e+13
155.952 1.88288e+13 2.87429e+13
156.277 1.88419e+13 2.87323e+13
156.602 1.8855e+13 2.87216e+13
156.927 1.88681e+13 2.87109e+13
157.252 1.88812e+13 2.87003e+13
157.576 1.88943e+13 2.86896e+13
157.901 1.89074e+13 2.86789e+13
158.226 1.89206e+13 2.86683e+13
158.551 1.89337e+13 2.86576e+13
158.876 1.89468e+13 2.86469e+13
159.201 1.89599e+13 2.86363e+13
159.526 1.8973e+13 2.86256e+13
159.851 1.89861e+13 2.86149e+13
160.176 1.89992e+13 2.86043e+13
160.501 1.90123e+13 2.85936e+13
160.826 1.90255e+13 2.85829e+13
161.15 1.90386e+13 2.85723e+13
161.475 1.90517e+13 2.85616e+13
161.8 1.90648e+13 2.85509e+13
162.125 1.90779e+13 2.85403e+13
162.45 1.9091e+13 2.85296e+13
162.775 1.90778e+13 2.854e+13
163.1 1.90646e+13 2.85504e+13
163.425 1.90513e+13 2.85608e+13
163.75 1.90381e+13 2.85713e+13
164.074 1.90249e+13 2.85817e+13
164.399 1.90117e+13 2.85921e+13
164.724 1.89984e+13 2.86025e+13
165.049 1.89852e+13 2.86129e+13
165.374 1.8972e+13 2.86234e+13
165.699 1.89587e+13 2.86338e+13
166.024 1.89455e+13 2.86442e+13
166.349 1.89323e+13 2.86546e+13
166.674 1.89191e+13 2.8665e+13
166.999 1.89058e+13 2.86755e+13
167.324 1.88926e+13 2.86859e+13
167.648 1.88794e+13 2.86963e+13
167.973 1.88661e+13 2.87067e+13
168.298 1.88529e+13 2.87171e+13
168.623 1.88397e+13 2.87276e+13
168.948 1.88265e+13 2.8738e+13
169.273 1.88132e+13 2.87484e+13
169.598 1.88e+13 2.87588e+13
169.923 1.87868e+13 2.87692e+13
170.248 1.87735e+13 2.87796e+13
170.572 1.87603e+13 2.87901e+13
170.897 1.87471e+13 2.88005e+13
171.222 1.8813e+13 2.88953e+13
171.547 1.89133e+13 2.90289e+13
171.872 1.90112e+13 2.91625e+13
172.197 1.91068e+13 2.92961e+13
172.522 1.92002e+13 2.94296e+13
172.847 1.92915e+13 2.95631e+13
